s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
53310	6	0	68	6	1	3.692	0.668	41	12	1173	1173	37536	1118	55	130	313	250	555	1500	13155	44	0	55	130	11	57	0.038
53594	6	6	11	0	1	0.343	0.343	18	5	354	354	11328	329	25	25	94	141	94	264	16419	14	1	25	25	4	8	0.008
53663	6	6	6	0	1	0.034	0.034	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
53759	6	6	2	0	1	0.036	0.036	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
53838	6	6	3	0	1	0.035	0.035	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
53883	6	6	6	0	1	0.034	0.034	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
53991	6	6	5	0	1	0.034	0.034	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
54277	6	6	89	0	1	0.233	0.233	19	9	491	491	15712	474	17	17	95	244	135	938	4436	9	2	17	17	3	3	0.005
54358	6	6	27	0	1	0.432	0.432	28	11	1064	1064	34048	1034	30	34	332	544	158	1525	4348	16	0	30	34	6	6	0.009
54644	6	6	5	0	1	0.035	0.035	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
54650	6	6	6	0	1	0.036	0.036	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
54827	2	2	12	0	1	0.110	0.110	19	10	81	81	2592	74	7	10	25	18	31	56	5722	7	1	7	10	1	8	0.004
55182	6	6	8	0	1	0.200	0.200	42	30	415	415	13280	405	10	13	163	88	154	469	2576	2	2	10	13	7	31	0.009
55331	6	6	3	0	1	0.035	0.035	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
55384	2	2	13	0	1	0.390	0.389	30	12	540	540	17280	517	23	33	158	147	212	421	13279	13	0	23	33	2	2	0.008
55648	6	6	4	0	1	0.035	0.036	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
